#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         456    0.973388    0.971081 4.66948e-05
         457    0.973405    0.971086 4.68686e-05
         458    0.973421    0.971091 4.70428e-05
         459    0.973438    0.971096 4.72173e-05
         460    0.973455    0.971102 4.73922e-05
         461    0.973472    0.971107 4.75674e-05
         462    0.973488    0.971112  4.7743e-05
         463    0.973505    0.971117 4.79189e-05
         464    0.973522    0.971122 4.80952e-05
         465    0.973539    0.971127 4.82718e-05
         466    0.973556    0.971133 4.84487e-05
         467    0.973573    0.971138 4.86261e-05
         468     0.97359    0.971143 4.88037e-05
         469    0.973608    0.971148 4.89818e-05
         470    0.973625    0.971154 4.91602e-05
         471    0.973642    0.971159 4.93389e-05
         472     0.97366    0.971164  4.9518e-05
         473    0.973677     0.97117 4.96975e-05
         474    0.973694    0.971175 4.98773e-05
         475    0.973712     0.97118 5.00575e-05
         476     0.97373    0.971186  5.0238e-05
         477    0.973747    0.971191 5.04189e-05
         478    0.973765    0.971196 5.06002e-05
         479    0.973783    0.971202 5.07818e-05
         480      0.9738    0.971207 5.09638e-05
         481    0.973818    0.971213 5.11461e-05
         482    0.973836    0.971218 5.13289e-05
         483    0.973854    0.971223 5.15119e-05
         484    0.973872    0.971229 5.16954e-05
         485     0.97389    0.971234 5.18792e-05
         486    0.973908     0.97124 5.20634e-05
         487    0.973927    0.971245  5.2248e-05
         488    0.973945    0.971251 5.24329e-05
         489    0.973963    0.971257 5.26182e-05
         490    0.973981    0.971262 5.28039e-05
         491       0.974    0.971268 5.29899e-05
         492    0.974018    0.971273 5.31763e-05
         493    0.974037    0.971279 5.33631e-05
         494    0.974055    0.971284 5.35503e-05
         495    0.974074     0.97129 5.37378e-05
         496    0.974093    0.971296 5.39258e-05
         497    0.974112    0.971301  5.4114e-05
         498     0.97413    0.971307 5.43027e-05
         499    0.974149    0.971313 5.44918e-05
         500    0.974168    0.971319 5.46812e-05
         501    0.974187    0.971324  5.4871e-05
         502    0.974206     0.97133 5.50611e-05
         503    0.974225    0.971336 5.52517e-05
         504    0.974244    0.971342 5.54426e-05
         505    0.974263    0.971347  5.5634e-05
         506    0.974283    0.971353 5.58257e-05
         507    0.974302    0.971359 5.60177e-05
         508    0.974321    0.971365 5.62102e-05
         509    0.974341    0.971371  5.6403e-05
         510     0.97436    0.971376 5.65963e-05
         511     0.97438    0.971382 5.67899e-05
         512      0.9744    0.971388 5.69839e-05
         513    0.974419    0.971394 5.71783e-05
         514    0.974439      0.9714 5.73731e-05
         515    0.974459    0.971406 5.75683e-05
         516    0.974479    0.971412 5.77638e-05
         517    0.974498    0.971418 5.79598e-05
         518    0.974518    0.971424 5.81561e-05
         519    0.974538     0.97143 5.83529e-05
         520    0.974559    0.971436   5.855e-05
         521    0.974579    0.971442 5.87475e-05
         522    0.974599    0.971448 5.89454e-05
         523    0.974619    0.971454 5.91438e-05
         524    0.974639     0.97146 5.93425e-05
         525     0.97466    0.971466 5.95416e-05
         526     0.97468    0.971472 5.97411e-05
         527    0.974701    0.971478  5.9941e-05
         528    0.974721    0.971485 6.01413e-05
         529    0.974742    0.971491  6.0342e-05
         530    0.974763    0.971497 6.05431e-05
         531    0.974783    0.971503 6.07446e-05
         532    0.974804    0.971509 6.09465e-05
         533    0.974825    0.971516 6.11488e-05
         534    0.974846    0.971522 6.13515e-05
         535    0.974867    0.971528 6.15546e-05
         536    0.974888    0.971534 6.17582e-05
         537    0.974909    0.971541 6.19621e-05
         538     0.97493    0.971547 6.21664e-05
         539    0.974952    0.971553 6.23712e-05
         540    0.974973     0.97156 6.25763e-05
         541    0.974994    0.971566 6.27819e-05
         542    0.975016    0.971572 6.29879e-05
         543    0.975037    0.971579 6.31943e-05
         544    0.975059    0.971585 6.34011e-05
         545     0.97508    0.971591 6.36083e-05
         546    0.975102    0.971598 6.38159e-05
         547    0.975124    0.971604  6.4024e-05
         548    0.975146    0.971611 6.42324e-05
         549    0.975167    0.971617 6.44413e-05
         550    0.975189    0.971624 6.46506e-05
         551    0.975211     0.97163 6.48603e-05
         552    0.975233    0.971637 6.50704e-05
         553    0.975256    0.971643  6.5281e-05
         554    0.975278     0.97165 6.54919e-05
         555      0.9753    0.971657 6.57033e-05
         556    0.975322    0.971663 6.59151e-05
         557    0.975345     0.97167 6.61274e-05
         558    0.975367    0.971676   6.634e-05
         559     0.97539    0.971683 6.65531e-05
         560    0.975412     0.97169 6.67666e-05
         561    0.975435    0.971696 6.69806e-05
         562    0.975458    0.971703 6.71949e-05
         563     0.97548     0.97171 6.74097e-05
         564    0.975503    0.971716  6.7625e-05
         565    0.975526    0.971723 6.78406e-05
         566    0.975549     0.97173 6.80567e-05
         567    0.975572    0.971737 6.82733e-05
         568    0.975595    0.971744 6.84902e-05
         569    0.975619     0.97175 6.87076e-05
         570    0.975642    0.971757 6.89254e-05
         571    0.975665    0.971764 6.91437e-05
         572    0.975689    0.971771 6.93624e-05
         573    0.975712    0.971778 6.95816e-05
         574    0.975736    0.971785 6.98012e-05
         575    0.975759    0.971792 7.00212e-05
         576    0.975783    0.971798 7.02417e-05
         577    0.975807    0.971805 7.04626e-05
