#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         280   0.0485593   0.0485195 1.05356e-06
         281   0.0485598   0.0485196 1.05952e-06
         282   0.0485602   0.0485198 1.06551e-06
         283   0.0485607   0.0485199  1.0715e-06
         284   0.0485611     0.04852 1.07751e-06
         285   0.0485616   0.0485202 1.08354e-06
         286    0.048562   0.0485203 1.08958e-06
         287   0.0485625   0.0485205 1.09564e-06
         288   0.0485629   0.0485206 1.10171e-06
         289   0.0485634   0.0485208 1.10779e-06
         290   0.0485639   0.0485209 1.11389e-06
         291   0.0485643   0.0485211 1.12001e-06
         292   0.0485648   0.0485212 1.12613e-06
         293   0.0485653   0.0485214 1.13228e-06
         294   0.0485657   0.0485215 1.13843e-06
         295   0.0485662   0.0485217  1.1446e-06
         296   0.0485667   0.0485218 1.15079e-06
         297   0.0485672    0.048522 1.15699e-06
         298   0.0485676   0.0485221 1.16321e-06
         299   0.0485681   0.0485223 1.16944e-06
         300   0.0485686   0.0485224 1.17568e-06
         301   0.0485691   0.0485226 1.18194e-06
         302   0.0485696   0.0485228 1.18821e-06
         303     0.04857   0.0485229  1.1945e-06
         304   0.0485705   0.0485231  1.2008e-06
         305    0.048571   0.0485232 1.20711e-06
         306   0.0485715   0.0485234 1.21344e-06
         307    0.048572   0.0485235 1.21979e-06
         308   0.0485725   0.0485237 1.22615e-06
         309    0.048573   0.0485239 1.23252e-06
         310   0.0485735    0.048524 1.23891e-06
         311    0.048574   0.0485242 1.24531e-06
         312   0.0485745   0.0485243 1.25173e-06
         313    0.048575   0.0485245 1.25816e-06
         314   0.0485755   0.0485247 1.26461e-06
         315    0.048576   0.0485248 1.27107e-06
         316   0.0485766    0.048525 1.27755e-06
         317   0.0485771   0.0485252 1.28404e-06
         318   0.0485776   0.0485253 1.29054e-06
         319   0.0485781   0.0485255 1.29706e-06
         320   0.0485786   0.0485257  1.3036e-06
         321   0.0485792   0.0485258 1.31015e-06
         322   0.0485797    0.048526 1.31671e-06
         323   0.0485802   0.0485262 1.32329e-06
         324   0.0485807   0.0485263 1.32989e-06
         325   0.0485813   0.0485265  1.3365e-06
         326   0.0485818   0.0485267 1.34312e-06
         327   0.0485823   0.0485268 1.34976e-06
         328   0.0485829    0.048527 1.35641e-06
         329   0.0485834   0.0485272 1.36308e-06
         330   0.0485839   0.0485273 1.36976e-06
         331   0.0485845   0.0485275 1.37646e-06
         332    0.048585   0.0485277 1.38317e-06
         333   0.0485856   0.0485279  1.3899e-06
         334   0.0485861    0.048528 1.39664e-06
         335   0.0485867   0.0485282 1.40339e-06
         336   0.0485872   0.0485284 1.41017e-06
         337   0.0485878   0.0485286 1.41695e-06
         338   0.0485883   0.0485287 1.42375e-06
         339   0.0485889   0.0485289 1.43057e-06
         340   0.0485895   0.0485291  1.4374e-06
         341     0.04859   0.0485293 1.44424e-06
         342   0.0485906   0.0485295  1.4511e-06
         343   0.0485912   0.0485296 1.45798e-06
