# BLOCK   OBS_AVE          ERROR     ACCEPTANCE
    316   1.50257     0.00478683         0.4928
    317   1.50233     0.00477807         0.4524
    318    1.5029      0.0047977         0.5124
    319   1.50242     0.00480673         0.4696
    320    1.5023     0.00479339         0.4696
    321   1.50243     0.00478025         0.4888
    322   1.50252     0.00476639         0.4736
    323   1.50268     0.00475435         0.4904
    324   1.50281     0.00474147         0.4752
    325   1.50298     0.00472996         0.4732
    326   1.50288     0.00471647         0.4568
    327   1.50324     0.00471553          0.484
    328   1.50339     0.00470364         0.4976
    329   1.50325     0.00469157         0.4968
    330   1.50357     0.00468844         0.4884
    331   1.50387     0.00468369          0.492
    332   1.50378     0.00467036         0.4776
    333   1.50336     0.00467584         0.4616
    334   1.50336     0.00466186         0.4596
    335   1.50295     0.00466607         0.4732
    336    1.5027     0.00465858         0.4648
    337   1.50301      0.0046551         0.4888
    338    1.5029     0.00464274          0.474
    339   1.50265     0.00463563          0.442
    340   1.50237     0.00463042         0.4788
    341   1.50273     0.00463048         0.5076
    342   1.50255     0.00462045         0.4812
    343   1.50255       0.004607         0.4896
    344   1.50274     0.00459722          0.484
    345   1.50294     0.00458827          0.504
    346   1.50327     0.00458732         0.4892
    347   1.50328     0.00457413          0.466
    348   1.50321     0.00456154          0.476
    349    1.5032     0.00454849         0.4692
    350   1.50372     0.00456506         0.4964
    351   1.50376      0.0045522         0.4988
    352   1.50392      0.0045422         0.4752
    353   1.50401     0.00453022           0.48
    354   1.50439     0.00453315            0.5
    355   1.50434     0.00452067         0.4764
    356   1.50456     0.00451376         0.4736
    357   1.50469     0.00450293          0.472
    358   1.50455     0.00449275         0.4812
    359   1.50473     0.00448406          0.512
    360    1.5048     0.00447219         0.4948
    361   1.50448     0.00447147         0.4532
    362   1.50418     0.00446931         0.4808
    363    1.5043     0.00445879         0.4884
    364   1.50422     0.00444727          0.486
    365   1.50442     0.00443942         0.4812
    366   1.50465     0.00443347         0.5028
    367   1.50461     0.00442157         0.4856
    368   1.50476     0.00441209          0.492
    369   1.50451     0.00440768         0.4568
    370   1.50476     0.00440311         0.4988
    371   1.50478     0.00439129         0.4612
    372   1.50481     0.00437966         0.5012
    373   1.50447     0.00438173         0.4816
    374   1.50415     0.00438133         0.4816
    375   1.50372     0.00439126         0.4664
    376   1.50345     0.00438765         0.4892
    377   1.50364     0.00438004          0.494
    378   1.50348     0.00437143         0.5024
    379   1.50336     0.00436143         0.4676
    380   1.50321     0.00435258         0.4796
    381   1.50305     0.00434426          0.482
    382   1.50304      0.0043329         0.4876
    383   1.50287     0.00432504         0.4684
    384   1.50249     0.00433101          0.468
    385   1.50264     0.00432258         0.4944
    386   1.50283     0.00431527         0.4908
    387   1.50266     0.00430736          0.466
