SA_STEP        SA_TEMP      FINAL_AVE          ERROR     ACCEPTANCE
    242      0.0123967      -0.442036      0.0021803        0.73335
    243      0.0123457      -0.446446     0.00200511        0.73056
    244      0.0122951      -0.443683     0.00293366        0.72747
    245      0.0122449      -0.433114     0.00375309        0.73822
    246      0.0121951      -0.434418     0.00354848        0.73762
    247      0.0121457      -0.445738     0.00256749        0.72552
    248      0.0120968      -0.441287     0.00289395        0.72628
    249      0.0120482      -0.442391     0.00216705         0.7229
    250          0.012      -0.445184     0.00224179        0.72457
    251      0.0119522      -0.441418     0.00207385        0.72416
    252      0.0119048      -0.440724     0.00245754         0.7223
    253      0.0118577      -0.444236     0.00205238        0.72396
    254       0.011811      -0.439805     0.00203642        0.71111
    255      0.0117647      -0.437322      0.0024827        0.71171
    256      0.0117188      -0.429537     0.00360542        0.72296
    257      0.0116732      -0.434783     0.00342487        0.72253
    258      0.0116279      -0.435633     0.00363622        0.72296
    259       0.011583      -0.431974     0.00377978        0.75165
    260      0.0115385      -0.432468     0.00330487        0.74942
    261      0.0114943      -0.430477     0.00357548        0.75027
    262      0.0114504      -0.436233     0.00323519        0.74931
    263      0.0114068      -0.431627      0.0032219        0.71855
    264      0.0113636      -0.440026     0.00315632        0.72017
    265      0.0113208      -0.440059     0.00254221        0.71633
    266      0.0112782      -0.443445     0.00266441        0.71326
    267       0.011236      -0.443147     0.00234904        0.71542
    268       0.011194       -0.43245     0.00225343        0.70453
    269      0.0111524      -0.445411     0.00224177        0.73564
    270      0.0111111      -0.439435     0.00248886        0.70254
    271      0.0110701      -0.436102     0.00327862        0.70102
    272      0.0110294      -0.436619     0.00257631        0.70164
    273       0.010989      -0.431725      0.0034822        0.70056
    274      0.0109489      -0.424838     0.00229668        0.67254
    275      0.0109091      -0.438152     0.00286316        0.72379
    276      0.0108696      -0.420003     0.00480508        0.71297
    277      0.0108303      -0.434746     0.00352643        0.74494
    278      0.0107914      -0.431903     0.00389414        0.72517
    279      0.0107527      -0.436589     0.00222798        0.69119
    280      0.0107143      -0.435885     0.00225483        0.69225
    281      0.0106762      -0.437994      0.0022698        0.69553
    282      0.0106383      -0.435559     0.00247697        0.69559
    283      0.0106007      -0.443349     0.00255565        0.71277
    284      0.0105634      -0.447021     0.00209718        0.73859
    285      0.0105263      -0.437307     0.00310301        0.74004
    286      0.0104895       -0.43811     0.00349162        0.74944
    287       0.010453      -0.440087     0.00283477        0.70372
    288      0.0104167       -0.43823     0.00284958        0.70649
    289      0.0103806      -0.443418     0.00206566        0.72339
    290      0.0103448      -0.440089     0.00214616        0.72221
    291      0.0103093      -0.429323     0.00241817        0.73823
    292       0.010274       -0.43172     0.00228369        0.70116
    293      0.0102389      -0.430495     0.00239329        0.70276
    294      0.0102041      -0.426895     0.00239146        0.70358
    295      0.0101695      -0.442404     0.00291918        0.73343
    296      0.0101351      -0.440551     0.00280226        0.73508
    297       0.010101      -0.439511     0.00293975        0.73292
    298      0.0100671      -0.444751     0.00244358        0.73019
    299      0.0100334       -0.44433      0.0035541        0.73236
    300           0.01      -0.440361     0.00200825        0.71483
    301     0.00996678      -0.437351     0.00207112        0.71565
    302     0.00993377      -0.439725     0.00211764        0.71771
    303     0.00990099      -0.434605     0.00229082        0.74358
