#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         377     -5.4313    -5.43744 0.000923843
         378    -5.43158    -5.43742 0.000921529
         379    -5.43186    -5.43741 0.000919214
         380    -5.43214    -5.43739   0.0009169
         381    -5.43177    -5.43738 0.000914612
         382    -5.43172    -5.43736 0.000912337
         383    -5.43071    -5.43734 0.000910121
         384    -5.42969    -5.43732 0.000907969
         385    -5.42998    -5.43731 0.000905811
         386    -5.42994    -5.43729 0.000903665
         387     -5.4299    -5.43727 0.000901532
         388    -5.42953    -5.43725 0.000899429
         389    -5.42949    -5.43723 0.000897338
         390    -5.42913    -5.43721 0.000895277
         391    -5.42877    -5.43719 0.000893248
         392    -5.42873    -5.43716  0.00089123
         393    -5.42869    -5.43714 0.000889222
         394    -5.42833    -5.43712 0.000887247
         395    -5.42797     -5.4371 0.000885303
         396    -5.42761    -5.43707 0.000883391
         397    -5.42823    -5.43705 0.000881446
         398    -5.42787    -5.43703 0.000879533
         399    -5.42719      -5.437 0.000877675
         400    -5.42813    -5.43698 0.000875761
         401     -5.4281    -5.43696 0.000873857
         402    -5.42807    -5.43694 0.000871963
         403    -5.42836    -5.43691 0.000870059
         404    -5.42865    -5.43689 0.000868145
         405    -5.42895    -5.43687 0.000866224
         406    -5.42892    -5.43686 0.000864312
         407    -5.42857    -5.43683 0.000862428
         408    -5.42854    -5.43681 0.000860554
         409    -5.42916     -5.4368 0.000858653
         410    -5.42946    -5.43678 0.000856745
         411    -5.42976    -5.43676 0.000854831
         412    -5.43038    -5.43675 0.000852896
         413    -5.43036    -5.43673 0.000850971
         414    -5.43001    -5.43671 0.000849071
         415    -5.42999     -5.4367 0.000847179
         416    -5.43029    -5.43668 0.000845283
         417    -5.42962    -5.43666 0.000843426
         418    -5.42992    -5.43665 0.000841562
         419    -5.42893    -5.43663 0.000839755
         420    -5.42956    -5.43661 0.000837925
         421    -5.43018     -5.4366 0.000836074
         422    -5.43081    -5.43658 0.000834205
         423    -5.43079    -5.43657 0.000832345
         424    -5.43077    -5.43656 0.000830494
         425    -5.43043    -5.43654 0.000828665
         426    -5.43009    -5.43653 0.000826859
         427     -5.4304    -5.43651 0.000825047
         428    -5.43038     -5.4365 0.000823243
         429     -5.4307    -5.43649 0.000821435
         430    -5.43068    -5.43647 0.000819636
         431    -5.43067    -5.43646 0.000817845
         432    -5.43065    -5.43645 0.000816062
         433    -5.43064    -5.43643 0.000814287
         434    -5.43063    -5.43642 0.000812521
         435    -5.43062     -5.4364 0.000810762
         436    -5.42996    -5.43639 0.000809037
         437    -5.43028    -5.43638 0.000807307
         438    -5.43092    -5.43636  0.00080556
         439    -5.43059    -5.43635 0.000803832
         440    -5.43091    -5.43634   0.0008021
         441    -5.43123    -5.43633 0.000800365
         442    -5.43123    -5.43632 0.000798637
         443    -5.43123     -5.4363 0.000796917
         444     -5.4309    -5.43629 0.000795215
         445    -5.43091    -5.43628  0.00079352
         446    -5.43058    -5.43627 0.000791844
         447    -5.43026    -5.43625 0.000790186
         448    -5.43059    -5.43624 0.000788523
         449    -5.43092    -5.43623 0.000786856
         450    -5.43061    -5.43622 0.000785206
         451    -5.43159    -5.43621 0.000783532
         452     -5.4316     -5.4362 0.000781865
         453    -5.43193    -5.43619 0.000780196
         454     -5.4313    -5.43618 0.000778552
         455    -5.43196    -5.43617 0.000776896
         456    -5.43165    -5.43616 0.000775255
         457    -5.43199    -5.43615 0.000773612
         458    -5.43233    -5.43614 0.000771968
         459    -5.43171    -5.43613 0.000770346
         460    -5.43238    -5.43612 0.000768715
         461    -5.43175    -5.43611 0.000767106
         462    -5.43178     -5.4361 0.000765503
         463    -5.43213    -5.43609 0.000763897
         464    -5.43215    -5.43609 0.000762298
         465    -5.43186    -5.43608 0.000760713
         466    -5.43156    -5.43607 0.000759142
         467    -5.43159    -5.43606 0.000757577
         468    -5.43195    -5.43605 0.000756009
         469    -5.43263    -5.43604 0.000754433
         470    -5.43299    -5.43603 0.000752855
         471    -5.43367    -5.43603 0.000751274
         472    -5.43403    -5.43603 0.000749694
         473    -5.43407    -5.43602  0.00074812
         474    -5.43475    -5.43602 0.000746547
         475    -5.43382    -5.43601 0.000744989
         476    -5.43354    -5.43601 0.000743442
         477    -5.43325      -5.436 0.000741906
         478    -5.43232      -5.436 0.000740394
         479    -5.43237    -5.43599 0.000738887
         480    -5.43209    -5.43598 0.000737393
         481    -5.43278    -5.43597  0.00073589
         482    -5.43218    -5.43596 0.000734405
         483    -5.43255    -5.43596 0.000732918
         484    -5.43259    -5.43595 0.000731437
         485    -5.43232    -5.43594 0.000729967
         486    -5.43236    -5.43594 0.000728503
         487    -5.43241    -5.43593 0.000727043
         488    -5.43278    -5.43592 0.000725582
         489    -5.43315    -5.43592  0.00072412
         490    -5.43352    -5.43591 0.000722659
         491    -5.43389    -5.43591 0.000721198
         492    -5.43362     -5.4359 0.000719748
         493    -5.43367     -5.4359 0.000718302
         494    -5.43339    -5.43589 0.000716866
         495    -5.43377    -5.43589  0.00071543
         496    -5.43414    -5.43589 0.000713997
         497    -5.43452    -5.43588 0.000712565
         498    -5.43457    -5.43588 0.000711139
         499     -5.4343    -5.43588 0.000709721
         500    -5.43402    -5.43587 0.000708312
         501     -5.4344    -5.43587 0.000706904
         502     -5.4351    -5.43587 0.000705497
         503     -5.4345    -5.43587   0.0007041
         504     -5.4352    -5.43586 0.000702704
         505    -5.43558    -5.43586 0.000701313
         506    -5.43596    -5.43586 0.000699927
         507    -5.43601    -5.43586 0.000698547
         508    -5.43541    -5.43586 0.000697172
         509    -5.43514    -5.43586 0.000695804
         510    -5.43487    -5.43586 0.000694442
         511    -5.43428    -5.43586  0.00069309
         512    -5.43531    -5.43586 0.000691737
         513    -5.43601    -5.43586 0.000690389
         514    -5.43606    -5.43586 0.000689046
         515    -5.43547    -5.43586 0.000687708
         516     -5.4352    -5.43585 0.000686377
         517    -5.43526    -5.43585  0.00068505
         518    -5.43466    -5.43585 0.000683731
         519    -5.43439    -5.43585  0.00068242
         520    -5.43477    -5.43585 0.000681111
         521    -5.43482    -5.43584 0.000679806
         522    -5.43455    -5.43584 0.000678508
         523    -5.43428    -5.43584 0.000677217
         524    -5.43401    -5.43584 0.000675934
         525    -5.43439    -5.43583 0.000674652
         526    -5.43444    -5.43583 0.000673375
         527    -5.43513    -5.43583 0.000672098
         528    -5.43486    -5.43583 0.000670828
         529    -5.43459    -5.43582 0.000669564
         530    -5.43431    -5.43582 0.000668307
         531    -5.43404    -5.43582 0.000667057
         532    -5.43376    -5.43581 0.000665814
         533     -5.4338    -5.43581 0.000664575
         534    -5.43417    -5.43581 0.000663338
         535    -5.43389     -5.4358 0.000662108
         536    -5.43425     -5.4358 0.000660879
         537    -5.43462     -5.4358 0.000659652
         538    -5.43433     -5.4358 0.000658431
         539    -5.43436    -5.43579 0.000657215
         540     -5.4344    -5.43579 0.000656003
         541     -5.4341    -5.43579 0.000654798
         542    -5.43413    -5.43578 0.000653597
         543    -5.43513    -5.43578 0.000652395
         544    -5.43515    -5.43578 0.000651196
         545    -5.43453    -5.43578 0.000650006
         546     -5.4339    -5.43578 0.000648824
         547    -5.43424    -5.43577 0.000647644
         548    -5.43458    -5.43577 0.000646466
         549    -5.43427    -5.43577 0.000645294
         550    -5.43427    -5.43577 0.000644127
         551     -5.4346    -5.43576 0.000642961
         552    -5.43525    -5.43576 0.000641797
         553    -5.43525    -5.43576 0.000640637
         554    -5.43525    -5.43576 0.000639481
         555    -5.43492    -5.43576 0.000638331
         556    -5.43491    -5.43576 0.000637185
         557    -5.43523    -5.43576 0.000636041
         558    -5.43619    -5.43576 0.000634902
         559    -5.43552    -5.43576 0.000633766
         560     -5.4355    -5.43576 0.000632635
         561    -5.43548    -5.43576 0.000631507
         562    -5.43578    -5.43576 0.000630384
         563    -5.43576    -5.43576 0.000629264
         564     -5.4354    -5.43576 0.000628149
         565    -5.43537    -5.43576 0.000627037
         566    -5.43631    -5.43576  0.00062593
         567    -5.43628    -5.43576 0.000624827
         568    -5.43624    -5.43576 0.000623727
         569     -5.4362    -5.43576 0.000622632
         570    -5.43584    -5.43576 0.000621539
         571    -5.43547    -5.43576 0.000620451
         572    -5.43543    -5.43576 0.000619367
         573    -5.43474    -5.43576 0.000618288
         574    -5.43502    -5.43576 0.000617212
         575    -5.43465    -5.43575 0.000616142
         576    -5.43428    -5.43575 0.000615078
         577    -5.43391    -5.43575  0.00061402
         578    -5.43386    -5.43574 0.000612966
         579    -5.43414    -5.43574 0.000611914
         580    -5.43441    -5.43574 0.000610863
         581    -5.43436    -5.43574 0.000609816
         582    -5.43432    -5.43573 0.000608773
         583    -5.43524    -5.43573  0.00060773
         584    -5.43552    -5.43573 0.000606689
         585    -5.43547    -5.43573 0.000605652
         586    -5.43543    -5.43573 0.000604619
         587    -5.43506    -5.43573  0.00060359
         588    -5.43469    -5.43573 0.000602566
         589    -5.43464    -5.43573 0.000601546
         590     -5.4346    -5.43573  0.00060053
         591    -5.43424    -5.43572 0.000599519
         592     -5.4342    -5.43572 0.000598512
         593    -5.43383    -5.43572 0.000597511
         594     -5.4338    -5.43571 0.000596514
         595    -5.43311    -5.43571 0.000595527
         596    -5.43308    -5.43571 0.000594544
         597    -5.43272     -5.4357 0.000593569
         598    -5.43269     -5.4357 0.000592598
         599    -5.43363    -5.43569 0.000591619
         600    -5.43393    -5.43569  0.00059064
         601    -5.43358    -5.43569 0.000589668
         602    -5.43291    -5.43568 0.000588706
         603    -5.43224    -5.43567 0.000587758
         604    -5.43189    -5.43567 0.000586818
         605    -5.43123    -5.43566 0.000585894
         606    -5.43154    -5.43565 0.000584966
         607    -5.43217    -5.43565 0.000584031
         608     -5.4328    -5.43564 0.000583089
         609    -5.43247    -5.43564 0.000582155
         610    -5.43278    -5.43563  0.00058122
         611    -5.43277    -5.43563 0.000580287
         612    -5.43276    -5.43562 0.000579358
         613     -5.4321    -5.43562 0.000578441
         614     -5.4321    -5.43561 0.000577528
         615    -5.43274    -5.43561 0.000576607
         616    -5.43242     -5.4356 0.000575695
         617    -5.43242     -5.4356 0.000574785
         618    -5.43241    -5.43559 0.000573878
         619    -5.43242    -5.43559 0.000572974
         620    -5.43274    -5.43558 0.000572068
         621    -5.43274    -5.43558 0.000571165
         622    -5.43307    -5.43557 0.000570261
         623    -5.43308    -5.43557  0.00056936
         624    -5.43276    -5.43557 0.000568465
         625    -5.43309    -5.43556 0.000567569
         626    -5.43278    -5.43556  0.00056668
         627    -5.43311    -5.43555  0.00056579
         628     -5.4328    -5.43555 0.000564906
         629    -5.43346    -5.43555 0.000564018
         630    -5.43314    -5.43554 0.000563135
         631    -5.43316    -5.43554 0.000562255
         632    -5.43349    -5.43554 0.000561375
         633    -5.43351    -5.43553 0.000560497
         634    -5.43449    -5.43553 0.000559616
         635    -5.43483    -5.43553 0.000558735
         636     -5.4342    -5.43553 0.000557861
         637    -5.43389    -5.43552 0.000556991
