#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         325    -6.61643     -6.6156   0.0275595
         326    -6.61916    -6.61561    0.027475
         327    -6.62185    -6.61563    0.027391
         328    -6.62451    -6.61565   0.0273075
         329    -6.62713    -6.61569   0.0272245
         330    -6.62908    -6.61573    0.027142
         331    -6.63098    -6.61577   0.0270601
         332    -6.63317    -6.61583   0.0269786
         333    -6.63532    -6.61589   0.0268977
         334     -6.6371    -6.61595   0.0268172
         335     -6.6382    -6.61601   0.0267373
         336    -6.63989    -6.61609   0.0266578
         337     -6.6422    -6.61616   0.0265788
         338    -6.64381    -6.61625   0.0265003
         339    -6.64569    -6.61633   0.0264222
         340    -6.64753    -6.61642   0.0263447
         341      -6.649    -6.61652   0.0262676
         342    -6.64977    -6.61662    0.026191
         343    -6.65081    -6.61672   0.0261148
         344    -6.65277    -6.61682   0.0260391
         345    -6.65468    -6.61693   0.0259639
         346    -6.65589    -6.61704   0.0258891
         347     -6.6577    -6.61716   0.0258147
         348     -6.6588    -6.61728   0.0257408
         349     -6.6592     -6.6174   0.0256673
         350    -6.65988    -6.61752   0.0255943
         351    -6.66147    -6.61765   0.0255217
         352    -6.66301    -6.61778   0.0254495
         353    -6.66384    -6.61791   0.0253777
         354    -6.66558    -6.61804   0.0253064
         355    -6.66663    -6.61818   0.0252355
         356    -6.66826    -6.61832    0.025165
         357    -6.66952    -6.61846   0.0250949
         358    -6.67137    -6.61861   0.0250253
         359    -6.67251    -6.61876    0.024956
         360     -6.6723    -6.61891   0.0248871
         361    -6.67334    -6.61906   0.0248186
         362    -6.67399    -6.61921   0.0247505
         363    -6.67458    -6.61936   0.0246828
         364    -6.67545    -6.61952   0.0246155
         365    -6.67594    -6.61967   0.0245485
         366    -6.67637    -6.61983    0.024482
         367    -6.67674    -6.61998   0.0244157
         368    -6.67771    -6.62014   0.0243499
         369    -6.67766     -6.6203   0.0242844
         370    -6.67723    -6.62045   0.0242193
         371    -6.67708     -6.6206   0.0241545
         372    -6.67687    -6.62075     0.02409
         373    -6.67726     -6.6209   0.0240259
         374     -6.6776    -6.62106   0.0239621
         375    -6.67757    -6.62121   0.0238987
         376    -6.67749    -6.62136   0.0238356
         377    -6.67672     -6.6215   0.0237728
         378    -6.67687    -6.62165   0.0237104
         379    -6.67698     -6.6218   0.0236483
