#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         687    0.948135    0.872003  0.00937632
         688    0.948562    0.872114  0.00936335
         689    0.948965    0.872226  0.00935042
         690    0.949345    0.872338  0.00933754
         691      0.9497     0.87245   0.0093247
         692     0.95003    0.872562   0.0093119
         693    0.950334    0.872674  0.00929913
         694    0.950614    0.872786  0.00928641
         695    0.950867    0.872899  0.00927373
         696    0.951094    0.873011  0.00926109
         697    0.951293    0.873123  0.00924848
         698    0.951465    0.873236  0.00923591
         699    0.951608    0.873348  0.00922338
         700    0.951722     0.87346  0.00921088
         701    0.951806    0.873571  0.00919842
         702    0.951861    0.873683  0.00918599
         703    0.951885    0.873794   0.0091736
         704    0.951879    0.873905  0.00916124
         705    0.951843    0.874016  0.00914891
         706    0.951779    0.874126  0.00913662
         707    0.951685    0.874235  0.00912435
         708    0.951562    0.874345  0.00911212
         709    0.951409    0.874453  0.00909992
         710    0.951226    0.874562  0.00908774
         711    0.951013    0.874669   0.0090756
         712     0.95077    0.874776  0.00906348
         713    0.950498    0.874882  0.00905139
         714    0.950196    0.874988  0.00903933
         715    0.949865    0.875092  0.00902729
         716    0.949506    0.875196  0.00901528
         717    0.949118    0.875299   0.0090033
         718    0.948702    0.875402  0.00899134
         719    0.948259    0.875503   0.0089794
         720    0.947788    0.875603  0.00896749
         721    0.947291    0.875703  0.00895561
         722    0.946767    0.875801  0.00894374
         723    0.946216    0.875899   0.0089319
         724     0.94564    0.875995  0.00892009
         725    0.945038     0.87609  0.00890829
         726    0.944412    0.876184  0.00889652
         727    0.943763    0.876277  0.00888477
         728     0.94309    0.876369  0.00887304
         729    0.942393     0.87646  0.00886133
         730    0.941673    0.876549  0.00884964
         731     0.94093    0.876637  0.00883797
         732    0.940165    0.876724  0.00882632
         733    0.939378    0.876809  0.00881469
         734    0.938571    0.876893  0.00880309
