#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         317     1.15992     1.17766   0.0274818
         318     1.16254     1.17762   0.0273954
         319     1.16515     1.17758   0.0273096
         320     1.16773     1.17755   0.0272242
         321      1.1703     1.17752   0.0271394
         322     1.17284     1.17751   0.0270552
         323     1.17535      1.1775   0.0269714
         324     1.17784      1.1775   0.0268882
         325      1.1803     1.17751   0.0268054
         326     1.18273     1.17753   0.0267232
         327     1.18513     1.17755   0.0266415
         328      1.1875     1.17758   0.0265603
         329     1.18984     1.17762   0.0264796
         330     1.19214     1.17766   0.0263994
         331     1.19441     1.17771   0.0263197
         332     1.19664     1.17777   0.0262405
         333     1.19882     1.17783   0.0261617
         334     1.20097      1.1779   0.0260835
         335     1.20308     1.17798   0.0260057
         336     1.20515     1.17806   0.0259285
         337     1.20717     1.17815   0.0258517
         338     1.20915     1.17824   0.0257754
         339     1.21108     1.17833   0.0256995
         340     1.21297     1.17844   0.0256241
         341     1.21481     1.17854   0.0255492
         342     1.21659     1.17865   0.0254747
         343     1.21833     1.17877   0.0254007
         344     1.22002     1.17889   0.0253272
         345     1.22166     1.17901   0.0252541
         346     1.22325     1.17914   0.0251814
         347     1.22478     1.17927   0.0251092
         348     1.22626     1.17941   0.0250374
         349     1.22769     1.17955    0.024966
         350     1.22907     1.17969   0.0248951
         351     1.23039     1.17983   0.0248246
         352     1.23166     1.17998   0.0247545
         353     1.23287     1.18013   0.0246848
         354     1.23402     1.18028   0.0246156
         355     1.23512     1.18044   0.0245467
         356     1.23617     1.18059   0.0244783
         357     1.23716     1.18075   0.0244102
         358     1.23809     1.18091   0.0243425
         359     1.23896     1.18107   0.0242753
         360     1.23978     1.18124   0.0242084
         361     1.24055      1.1814   0.0241419
         362     1.24126     1.18157   0.0240758
         363     1.24191     1.18173     0.02401
         364     1.24251      1.1819   0.0239446
         365     1.24305     1.18207   0.0238796
         366     1.24353     1.18223    0.023815
         367     1.24396      1.1824   0.0237507
         368     1.24434     1.18257   0.0236867
         369     1.24467     1.18274   0.0236231
         370     1.24494     1.18291   0.0235599
         371     1.24516     1.18308    0.023497
         372     1.24533     1.18324   0.0234344
         373     1.24544     1.18341   0.0233722
         374     1.24551     1.18358   0.0233103
         375     1.24553     1.18374   0.0232487
         376     1.24549      1.1839   0.0231874
         377     1.24542     1.18407   0.0231265
         378     1.24529     1.18423   0.0230659
         379     1.24512     1.18439   0.0230056
         380      1.2449     1.18455   0.0229456
         381     1.24464     1.18471   0.0228859
         382     1.24433     1.18486   0.0228265
         383     1.24397     1.18502   0.0227675
         384     1.24357     1.18517   0.0227087
         385     1.24313     1.18532   0.0226502
         386     1.24265     1.18547    0.022592
