#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         548         2.9     2.84102   0.0489332
         549        3.06     2.84142   0.0488457
         550        4.58     2.84458   0.0488591
         551        1.62     2.84236    0.048821
         552        2.34     2.84145    0.048741
         553         2.5     2.84083   0.0486568
         554        5.14     2.84498   0.0487456
         555        3.46     2.84609   0.0486704
         556         4.1     2.84835   0.0486351
         557        3.46     2.84944   0.0485601
         558        4.58     2.85254    0.048572
         559        3.46     2.85363   0.0484973
         560        2.18     2.85243   0.0484256
         561        2.74     2.85223   0.0483397
         562        3.46     2.85331   0.0482658
         563        3.38     2.85425   0.0481891
         564         1.3     2.85149   0.0481824
         565        1.06     2.84832   0.0482014
         566        0.34     2.84389   0.0483195
         567         2.5     2.84328   0.0482381
         568        4.58     2.84634     0.04825
         569         4.1     2.84854   0.0482154
         570        5.14     2.85256   0.0482982
         571         1.7     2.85054   0.0482557
         572        2.18     2.84937   0.0481856
         573        2.18      2.8482   0.0481157
         574        2.18     2.84704   0.0480459
         575         0.9     2.84365   0.0480815
         576         1.7     2.84167    0.048039
         577        3.94     2.84357   0.0479935
         578         1.7     2.84159   0.0479512
         579        3.06     2.84197   0.0478699
         580         1.3     2.83931   0.0478611
         581        1.06     2.83625   0.0478766
         582        2.18     2.83512   0.0478076
         583        2.42     2.83441   0.0477309
         584        2.42      2.8337   0.0476545
         585        2.02     2.83231   0.0475933
         586         2.5     2.83174   0.0475155
         587         2.5     2.83118   0.0474379
         588        3.46     2.83224   0.0473693
         589        2.02     2.83087   0.0473089
         590         3.7     2.83234   0.0472517
         591        3.94     2.83421   0.0472089
         592         2.5     2.83365   0.0471325
         593        3.46      2.8347   0.0470648
         594        3.38     2.83562   0.0469946
         595        3.94     2.83748   0.0469522
         596        3.46     2.83852   0.0468851
         597        3.46     2.83956   0.0468181
         598         4.5     2.84234    0.046822
         599        5.14     2.84618   0.0469007
         600        3.38     2.84707    0.046831
         601        3.46     2.84809   0.0467642
         602        2.18     2.84698   0.0466997
         603         2.5      2.8464   0.0466258
         604        3.94     2.84821   0.0465837
         605         4.5     2.85094   0.0465867
         606         4.5     2.85366   0.0465892
         607        5.86     2.85862    0.046775
         608        1.62     2.85658   0.0467424
         609        3.46     2.85757   0.0466761
         610        5.14     2.86131   0.0467493
         611         1.7     2.85941   0.0467114
         612         2.9     2.85948   0.0466352
         613         2.9     2.85954   0.0465591
         614        0.98     2.85648   0.0465838
         615         5.3     2.86046   0.0466772
         616         4.5     2.86312   0.0466773
         617        2.02     2.86175   0.0466216
         618        2.74     2.86155   0.0465466
         619        1.62     2.85955   0.0465146
         620         2.5     2.85897   0.0464432
         621         1.7      2.8571   0.0464059
         622        3.06     2.85743   0.0463324
         623        3.46     2.85839   0.0462681
         624        2.42     2.85769   0.0461993
         625        4.58     2.86045   0.0462075
         626        3.46     2.86141   0.0461436
         627        2.02     2.86006   0.0460895
         628         0.9     2.85694   0.0461217
         629         2.9     2.85701   0.0460484
         630        2.74     2.85683   0.0459757
         631        1.46     2.85461   0.0459561
         632         2.9     2.85468   0.0458834
         633        2.02     2.85336   0.0458299
         634        2.18      2.8523   0.0457699
         635         2.5     2.85175   0.0457012
         636        3.06     2.85208   0.0456305
         637        3.94     2.85378   0.0455908
         638        3.94     2.85549   0.0455512
         639        1.46      2.8533   0.0455322
         640         1.7      2.8515   0.0454967
         641        4.42     2.85395   0.0454915
         642        2.42     2.85327   0.0454256
         643        2.74     2.85309   0.0453553
         644        5.14     2.85665   0.0454237
         645        4.58     2.85932   0.0454318
         646         2.9     2.85938   0.0453615
         647        1.06      2.8566   0.0453766
         648        2.02     2.85531   0.0453249
         649         5.3     2.85908   0.0454113
         650        3.46        2.86   0.0453509
         651        3.46     2.86092   0.0452906
         652         2.5     2.86037   0.0452245
         653        4.82     2.86337   0.0452547
         654         4.1     2.86526    0.045225
         655        2.02     2.86397   0.0451744
         656         1.3     2.86159   0.0451684
         657        2.02      2.8603   0.0451178
         658         1.7     2.85854   0.0450836
         659         1.7     2.85678   0.0450495
         660         2.9     2.85685   0.0449813
         661        1.46     2.85474   0.0449629
         662        1.46     2.85263   0.0449443
         663        2.02     2.85137    0.044894
         664        2.42     2.85072   0.0448311
         665        1.94     2.84935   0.0447846
         666        3.94     2.85099   0.0447473
         667        3.46      2.8519   0.0446895
         668        3.46     2.85281   0.0446319
         669         2.5     2.85229   0.0445683
         670        3.46     2.85319    0.044511
         671         2.9     2.85326   0.0444447
         672        3.06     2.85357   0.0443796
         673        2.02     2.85233    0.044331
