#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         373         4.1     1.26885   0.0734189
         374        3.88     1.27583   0.0735538
         375        2.72     1.27968   0.0734584
         376        0.34     1.27718   0.0733055
         377        0.74     1.27576   0.0731249
         378           4     1.28296   0.0732858
         379        0.04     1.27968   0.0731658
         380        0.34     1.27721    0.073015
         381        1.22     1.27706   0.0728235
         382         2.9     1.28131   0.0727567
         383         2.9     1.28554   0.0726894
         384        1.78     1.28682   0.0725115
         385        0.52     1.28483   0.0723505
         386        0.64     1.28316   0.0721823
         387        0.04     1.27995   0.0720673
         388           0     1.27665    0.071957
         389         0.8     1.27542   0.0717824
         390         5.2     1.28549   0.0723003
         391        2.72     1.28916   0.0722084
         392         0.9     1.28816    0.072031
         393        1.06     1.28758   0.0718501
         394        0.52     1.28563   0.0716941
         395        0.26     1.28304   0.0715596
         396        0.52     1.28111   0.0714049
         397         1.6     1.28191   0.0712295
         398        0.26     1.27935   0.0710968
         399        0.08     1.27634   0.0709821
         400        0.18      1.2736   0.0708576
         401         0.5     1.27167   0.0707071
         402        0.16     1.26891   0.0705853
         403        1.22     1.26878   0.0704103
         404        0.02     1.26569   0.0703038
         405        0.26     1.26321    0.070174
         406         0.8     1.26207   0.0700105
         407        0.18     1.25941   0.0698889
         408        0.02     1.25637   0.0697836
         409        0.52     1.25457   0.0696362
         410        0.18     1.25195   0.0695157
         411        1.16     1.25173   0.0693469
         412        0.64     1.25024   0.0691945
         413        0.26     1.24785   0.0690685
         414        0.74     1.24662   0.0689125
         415         0.1     1.24386   0.0688018
         416         0.1     1.24111   0.0686914
         417        1.04     1.24062   0.0685283
         418         0.1     1.23789   0.0684187
         419        0.04     1.23504   0.0683151
         420         0.5     1.23329   0.0681749
         421        0.72     1.23207   0.0680238
         422        2.12     1.23417   0.0678952
         423        0.82     1.23319   0.0677417
         424        2.98     1.23731   0.0677071
         425        0.58     1.23576   0.0675655
         426        1.16     1.23559   0.0674071
         427        1.16     1.23541   0.0672495
         428        0.08     1.23271   0.0671465
         429         0.4     1.23077    0.067018
         430         6.8     1.24372   0.0681022
         431        0.32     1.24158   0.0679779
         432        0.82      1.2406   0.0678275
         433        1.04     1.24014   0.0676725
         434        4.66     1.24802   0.0679738
         435        1.64     1.24892   0.0678235
         436        0.82     1.24794   0.0676751
         437         0.2     1.24554   0.0675627
         438        0.02     1.24274   0.0674663
         439        0.32     1.24064   0.0673454
         440        3.88     1.24664   0.0674589
         441        2.12     1.24862    0.067335
         442        2.34     1.25109    0.067228
         443         1.3      1.2512   0.0670763
         444        0.74     1.25005   0.0669351
         445        1.04     1.24957   0.0667864
         446         0.1       1.247   0.0666863
         447        0.74     1.24586   0.0665468
         448        0.02     1.24312   0.0664545
         449         0.1     1.24058   0.0663552
         450         0.4     1.23871   0.0662341
         451         1.3     1.23885   0.0660873
         452        0.08     1.23628   0.0659908
         453         0.9     1.23554   0.0658493
         454        4.88     1.24357   0.0661918
         455         2.9     1.24721   0.0661463
         456        1.16     1.24702   0.0660016
         457        0.52     1.24543   0.0658763
         458        0.02     1.24275   0.0657868
         459        0.58     1.24131   0.0656593
         460        1.22     1.24126   0.0655166
         461        0.58     1.23983   0.0653902
         462        0.82     1.23892   0.0652549
         463           5     1.24704   0.0656177
         464        7.38     1.26026   0.0667942
         465        7.54     1.27376   0.0680021
         466         1.6     1.27446   0.0678598
         467        0.64      1.2731   0.0677281
         468         0.4     1.27124    0.067609
         469         0.1     1.26874    0.067511
         470        0.68     1.26749    0.067379
         471        2.12      1.2693   0.0672602
         472        0.82     1.26835   0.0671245
         473           1     1.26778   0.0669849
         474        0.16     1.26544   0.0668844
         475        0.74     1.26434   0.0667527
         476        2.12     1.26613   0.0666367
         477        1.36     1.26633   0.0664973
         478         0.9     1.26556   0.0663626
         479        0.34     1.26363   0.0662522
         480        1.48     1.26408   0.0661157
         481        0.52     1.26254   0.0659963
         482        1.22     1.26245   0.0658594
         483         0.8     1.26149     0.06573
         484         0.4     1.25971   0.0656183
         485        0.02     1.25715   0.0655328
         486        0.68     1.25597   0.0654087
         487         1.7     1.25688   0.0652808
         488        4.88      1.2643   0.0655678
         489        0.98     1.26372   0.0654363
         490        2.18     1.26559   0.0653295
         491        3.62     1.27039   0.0653722
         492         0.5     1.26882   0.0652581
         493        3.24     1.27282   0.0652481
         494         2.6     1.27551   0.0651713
         495        0.26     1.27345   0.0650719
         496        0.32     1.27153   0.0649691
         497         6.8     1.28266   0.0657837
         498        0.32     1.28072     0.06568
         499        0.58     1.27932   0.0655634
         500        0.18     1.27712   0.0654692
         501         0.5     1.27557   0.0653569
         502        2.74     1.27849   0.0652917
         503        0.34     1.27662   0.0651886
         504        0.32     1.27472   0.0650869
         505        0.34     1.27287   0.0649843
         506        0.02      1.2704    0.064903
         507         0.4     1.26868   0.0647977
         508         1.3     1.26874   0.0646702
         509           1     1.26821   0.0645453
         510        0.26     1.26624    0.064449
         511        0.72     1.26517   0.0643317
         512           1     1.26465   0.0642082
         513        2.72     1.26749   0.0641456
         514        0.34     1.26568   0.0640462
         515         1.8     1.26672   0.0639303
         516        0.68     1.26558   0.0638165
         517        6.34      1.2754   0.0644434
         518       12.34     1.29676   0.0677666
         519        2.34     1.29877   0.0676659
         520         0.8     1.29781   0.0675425
         521        0.36     1.29601   0.0674369
         522        1.06     1.29556   0.0673092
         523        0.52     1.29407   0.0671968
         524        0.02     1.29164   0.0671126
         525        0.58     1.29029   0.0669984
         526        1.78     1.29122   0.0668775
         527        4.16     1.29666   0.0669718
         528         5.8     1.30519   0.0673859
         529        1.28     1.30514   0.0672585
         530        0.34     1.30332   0.0671562
         531         0.1     1.30105    0.067068
         532        0.26      1.2991   0.0669705
         533        3.28     1.30281   0.0669479
         534        3.14     1.30625   0.0669108
         535        1.62     1.30684   0.0667883
         536         0.5     1.30534   0.0666807
         537        4.04     1.31043   0.0667507
         538        0.02     1.30803   0.0666697
         539        0.02     1.30564   0.0665888
         540        1.28     1.30559   0.0664655
         541         1.7     1.30632   0.0663467
         542        0.68     1.30517   0.0662343
         543         0.5     1.30368   0.0661289
         544        3.62     1.30794   0.0661443
         545        1.04     1.30745   0.0660248
         546         1.3     1.30744   0.0659039
         547        2.74     1.31005   0.0658354
         548         1.3     1.31004   0.0657153
         549         0.1     1.30783   0.0656325
         550        0.68     1.30669   0.0655231
         551        2.34     1.30857    0.065431
         552        3.86     1.31319   0.0654755
         553        1.64     1.31378   0.0653598
         554        0.26     1.31188   0.0652695
         555        2.34     1.31373   0.0651782
         556         7.3      1.3245   0.0659442
         557         2.9     1.32732   0.0658865
         558         0.5     1.32584   0.0657851
         559         0.1     1.32365   0.0657039
         560        0.34     1.32189   0.0656101
         561         2.6     1.32417   0.0655327
         562        0.04     1.32189   0.0654559
         563        0.08     1.31968   0.0653768
         564        0.64     1.31848    0.065272
         565        0.72     1.31742    0.065165
         566         0.5     1.31597   0.0650659
         567        1.04     1.31549    0.064953
         568        0.02      1.3132   0.0648786
         569         0.1     1.31107   0.0647996
         570         0.5     1.30965   0.0647016
         571        0.82     1.30879    0.064594
         572        0.08     1.30664   0.0645167
         573        1.06     1.30621   0.0644056
         574        0.58     1.30495   0.0643058
         575         1.7     1.30563   0.0641976
         576        1.04     1.30517   0.0640878
         577         1.6     1.30568   0.0639788
         578         0.5     1.30429   0.0638833
         579         0.8     1.30342   0.0637789
         580         1.8     1.30428   0.0636747
         581         0.2     1.30238   0.0635935
         582        1.46     1.30265   0.0634848
         583        0.34     1.30099   0.0633973
         584        2.56     1.30315   0.0633254
         585        1.44     1.30338   0.0632176
         586        1.48     1.30369   0.0631104
         587        0.58     1.30245    0.063015
         588        0.08     1.30037   0.0629421
         589           1     1.29986   0.0628373
         590         0.8     1.29902   0.0627365
         591        1.16     1.29878   0.0626308
         592           1     1.29828    0.062527
         593        0.64     1.29717   0.0624314
         594        0.18     1.29529   0.0623547
         595         0.8     1.29445   0.0622554
         596         0.2     1.29262    0.062178
         597           0     1.29045   0.0621116
         598        2.26     1.29207   0.0620289
         599        1.04     1.29165   0.0619267
         600        0.82     1.29087   0.0618285
         601        0.18     1.28902   0.0617533
         602         1.6     1.28953   0.0616528
         603        0.36     1.28799   0.0615699
         604        7.88     1.29891   0.0624277
         605        9.36     1.31223   0.0637306
         606        1.36     1.31231   0.0636255
         607        0.34     1.31071   0.0635408
         608           0     1.30855   0.0634729
         609        0.34     1.30696   0.0633886
         610        0.08     1.30495   0.0633166
         611         0.1     1.30298   0.0632436
         612        0.08     1.30098   0.0631719
         613         6.1     1.30881   0.0635521
         614        1.64     1.30935   0.0634508
         615        0.52     1.30807   0.0633606
         616        3.28     1.31127   0.0633386
         617           1     1.31076    0.063238
         618         0.2     1.30896   0.0631612
         619        0.98     1.30843   0.0630614
         620        0.64     1.30735   0.0629689
         621         0.5     1.30605   0.0628809
         622        1.36     1.30614   0.0627799
         623         1.7     1.30677   0.0626823
         624        1.22     1.30663    0.062582
         625         4.5     1.31174   0.0626901
         626        0.64     1.31067   0.0625991
         627        0.36     1.30915   0.0625176
         628        0.52      1.3079   0.0624307
         629        2.26     1.30941   0.0623498
         630        6.92     1.31832   0.0628836
         631        1.16     1.31807   0.0627845
         632        0.26     1.31639   0.0627074
         633        0.82     1.31561   0.0626133
         634        1.16     1.31536    0.062515
         635        4.36     1.32016   0.0626002
         636        3.14     1.32302   0.0625671
         637        2.26     1.32449   0.0624862
         638         2.5     1.32633   0.0624154
         639        1.64     1.32682   0.0623196
         640         0.1     1.32491   0.0622517
         641        1.22     1.32474   0.0621548
         642        2.56     1.32667   0.0620878
         643         1.7     1.32725   0.0619939
         644        4.16     1.33165   0.0620535
         645         0.4      1.3302   0.0619741
         646        2.34     1.33176   0.0618979
         647        0.74     1.33085    0.061809
         648        0.08     1.32892   0.0617437
         649         1.3     1.32888   0.0616486
         650        0.26     1.32723   0.0615757
         651         1.3     1.32719   0.0614811
         652         3.6     1.33067   0.0614856
         653        1.78     1.33136   0.0613953
         654        0.82     1.33058   0.0613064
         655        3.86     1.33444   0.0613343
         656        1.28     1.33436   0.0612408
         657        0.02     1.33236   0.0611803
         658        0.32     1.33082   0.0611067
         659        0.04     1.32886   0.0610453
         660        0.52     1.32764   0.0609651
