#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         394    0.866748     1.05672   0.0141928
         395     0.86619     1.05624    0.014165
         396     0.86563     1.05575   0.0141374
         397    0.865067     1.05527     0.01411
         398    0.864505     1.05479   0.0140827
         399    0.863944     1.05432   0.0140555
         400    0.863386     1.05384   0.0140284
         401    0.862832     1.05336   0.0140015
         402    0.862284     1.05289   0.0139748
         403    0.861743     1.05241   0.0139481
         404    0.861209     1.05194   0.0139217
         405    0.860685     1.05147   0.0138953
         406     0.86017       1.051    0.013869
         407    0.859667     1.05053   0.0138429
         408    0.859176     1.05006   0.0138169
         409    0.858699     1.04959   0.0137911
         410    0.858236     1.04912   0.0137653
         411    0.857789     1.04866   0.0137397
         412    0.857358     1.04819   0.0137142
         413    0.856945     1.04773   0.0136888
         414    0.856549     1.04727   0.0136635
         415    0.856172     1.04681   0.0136384
         416    0.855815     1.04635   0.0136133
         417    0.855478     1.04589   0.0135884
         418    0.855161     1.04543   0.0135635
         419    0.854866     1.04498   0.0135388
         420    0.854594     1.04453   0.0135141
         421    0.854345     1.04407   0.0134896
         422    0.854119     1.04362   0.0134651
         423    0.853917     1.04318   0.0134407
         424    0.853741     1.04273   0.0134165
         425    0.853591     1.04228   0.0133923
         426    0.853467     1.04184   0.0133682
         427     0.85337      1.0414   0.0133442
         428      0.8533     1.04096   0.0133202
         429    0.853259     1.04052   0.0132963
         430    0.853247     1.04009   0.0132726
         431    0.853264     1.03965   0.0132488
         432    0.853312     1.03922   0.0132252
         433    0.853391     1.03879   0.0132016
         434    0.853502     1.03837   0.0131781
         435    0.853646     1.03794   0.0131546
         436    0.853824     1.03752   0.0131312
         437    0.854037      1.0371   0.0131079
         438    0.854285     1.03668   0.0130846
         439    0.854569     1.03627   0.0130614
         440     0.85489     1.03585   0.0130382
         441    0.855248     1.03545   0.0130151
         442    0.855644     1.03504    0.012992
         443     0.85608     1.03463   0.0129689
         444    0.856554     1.03423   0.0129459
         445    0.857069     1.03384    0.012923
         446    0.857624     1.03344      0.0129
         447     0.85822     1.03305   0.0128771
         448    0.858856     1.03266   0.0128542
         449    0.859533     1.03227   0.0128314
         450    0.860252     1.03189   0.0128086
         451    0.861011     1.03151   0.0127858
         452    0.861812     1.03114    0.012763
         453    0.862655     1.03077   0.0127402
         454    0.863538      1.0304   0.0127175
         455    0.864462     1.03003   0.0126948
         456    0.865425     1.02967   0.0126721
         457    0.866428     1.02931   0.0126494
         458    0.867468     1.02896   0.0126267
         459    0.868545     1.02861    0.012604
         460    0.869658     1.02827   0.0125814
         461    0.870804     1.02792   0.0125587
         462    0.871984     1.02759    0.012536
         463    0.873194     1.02725   0.0125134
         464    0.874435     1.02692   0.0124908
         465    0.875703      1.0266   0.0124681
         466    0.876997     1.02628   0.0124455
         467    0.878315     1.02596   0.0124229
         468    0.879654     1.02565   0.0124003
         469    0.881013     1.02534   0.0123777
         470    0.882388     1.02504   0.0123551
         471    0.883778     1.02474   0.0123325
         472    0.885181     1.02444   0.0123099
         473    0.886593     1.02415   0.0122873
         474    0.888012     1.02386   0.0122648
         475    0.889434     1.02358   0.0122422
         476    0.890859      1.0233   0.0122197
         477    0.892283     1.02302   0.0121971
         478    0.893703     1.02275   0.0121746
         479    0.895117     1.02249   0.0121521
         480    0.896524     1.02223   0.0121296
         481     0.89792     1.02197   0.0121072
         482    0.899304     1.02171   0.0120847
         483    0.900673     1.02146   0.0120623
         484    0.902027     1.02122   0.0120399
         485    0.903361     1.02097   0.0120175
         486    0.904675     1.02073   0.0119952
         487    0.905965      1.0205   0.0119729
         488    0.907232     1.02026   0.0119506
         489    0.908472     1.02004   0.0119283
         490    0.909685     1.01981   0.0119061
         491    0.910869     1.01959   0.0118839
         492    0.912022     1.01937   0.0118618
         493    0.913144     1.01916   0.0118397
         494    0.914234     1.01894   0.0118176
         495    0.915291     1.01873   0.0117956
         496    0.916314     1.01853   0.0117736
         497    0.917303     1.01832   0.0117517
         498    0.918257     1.01812   0.0117298
         499    0.919175     1.01792    0.011708
         500    0.920057     1.01773   0.0116862
         501    0.920903     1.01753   0.0116645
         502    0.921714     1.01734   0.0116428
         503    0.922488     1.01716   0.0116212
         504    0.923226     1.01697   0.0115996
         505    0.923929     1.01678   0.0115781
         506    0.924597      1.0166   0.0115567
         507     0.92523     1.01642   0.0115353
         508    0.925828     1.01624    0.011514
         509    0.926393     1.01607   0.0114927
         510    0.926924     1.01589   0.0114715
         511    0.927422     1.01572   0.0114503
         512    0.927888     1.01555   0.0114293
         513    0.928322     1.01538   0.0114082
         514    0.928725     1.01521   0.0113873
         515    0.929098     1.01504   0.0113664
         516    0.929442     1.01488   0.0113456
         517    0.929757     1.01471   0.0113248
         518    0.930044     1.01455   0.0113042
         519    0.930305     1.01439   0.0112835
         520    0.930541     1.01422    0.011263
         521    0.930752     1.01406   0.0112425
         522    0.930938     1.01391   0.0112221
         523    0.931102     1.01375   0.0112018
         524    0.931244     1.01359   0.0111815
         525    0.931365     1.01343   0.0111613
         526    0.931465     1.01328   0.0111412
         527    0.931545     1.01312   0.0111211
         528    0.931607     1.01297   0.0111011
         529     0.93165     1.01281   0.0110812
         530    0.931677     1.01266   0.0110613
         531    0.931686     1.01251   0.0110416
         532    0.931681     1.01236   0.0110219
         533    0.931661     1.01221   0.0110022
         534    0.931626     1.01205   0.0109826
         535    0.931579      1.0119   0.0109631
         536    0.931519     1.01175   0.0109437
