#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
         311         2.9     2.81768   0.0640792
         312        3.06     2.81846   0.0638785
         313        3.94     2.82204   0.0637749
         314         1.3      2.8172   0.0637557
         315        3.38     2.81898   0.0635783
         316        2.02     2.81646   0.0634274
         317        3.38     2.81823   0.0632522
         318        2.02     2.81572   0.0631031
         319        2.02     2.81323   0.0629546
         320        3.94     2.81675   0.0628562
         321        3.38      2.8185   0.0626849
         322        3.38     2.82025   0.0625145
         323        1.62     2.81653   0.0624313
         324        5.14      2.8237   0.0626491
         325        4.42     2.82862   0.0626486
         326         2.9     2.82883   0.0624568
         327        2.18     2.82685   0.0622973
         328        3.94     2.83024   0.0621997
         329        2.42       2.829   0.0620232
         330         2.9     2.82921   0.0618356
         331        3.38     2.83088   0.0616712
         332         2.9     2.83108   0.0614858
         333        3.94     2.83441   0.0613912
         334        3.94     2.83772   0.0612966
         335        4.42     2.84245   0.0612953
         336         1.3     2.83786   0.0612846
         337        3.06     2.83852   0.0611062
         338        1.46     2.83444   0.0610614
         339        1.94      2.8318   0.0609383
         340        3.46     2.83365    0.060787
         341         1.7     2.83032   0.0606996
         342        5.14     2.83708   0.0608967
         343        3.46     2.83889   0.0607462
         344         2.9     2.83907   0.0605699
         345        4.58     2.84412   0.0606042
         346         2.5     2.84312   0.0604372
         347         2.9     2.84329   0.0602632
         348        5.14     2.84989   0.0604503
         349        5.14     2.85645   0.0606322
         350        3.46     2.85817   0.0604835
         351        1.62     2.85464    0.060414
         352        0.74     2.84864   0.0605403
         353        0.74     2.84266   0.0606628
         354         2.9     2.84282   0.0604916
         355        5.14      2.8493   0.0606664
         356        2.42     2.84809   0.0605079
         357        2.42     2.84689   0.0603503
         358        2.42      2.8457   0.0601935
         359        2.42     2.84451   0.0600375
         360        3.06     2.84511   0.0598737
         361        3.46     2.84681   0.0597321
         362         1.7     2.84365   0.0596511
         363         1.7      2.8405   0.0595699
         364         2.9     2.84066   0.0594064
         365        3.38     2.84214   0.0592621
         366        2.02     2.83989   0.0591427
         367        2.02     2.83766   0.0590237
         368         1.7     2.83457   0.0589442
         369        3.94     2.83756   0.0588606
         370        1.62     2.83427   0.0587934
         371         4.5     2.83876   0.0588061
         372         2.5     2.83785   0.0586551
         373        5.14     2.84402   0.0588217
         374         1.3     2.83989   0.0588091
         375        0.34     2.83323   0.0590289
         376        1.62        2.83     0.05896
         377        2.02     2.82785   0.0588428
         378        2.02     2.82571   0.0587259
         379        2.74     2.82549   0.0585714
         380         2.9     2.82568   0.0584176
         381        2.02     2.82357   0.0583025
         382        4.58     2.82817   0.0583309
         383        5.14      2.8342   0.0584901
         384        3.94     2.83708   0.0584086
         385        5.78     2.84473    0.058755
         386        3.46     2.84632   0.0586244
         387        3.06     2.84687   0.0584755
         388        0.74     2.84144   0.0585763
         389         2.5     2.84057   0.0584323
         390        2.02     2.83846   0.0583204
         391        2.42     2.83739    0.058181
         392        2.42     2.83633   0.0580424
         393        2.02     2.83425   0.0579318
         394        2.02     2.83218   0.0578216
         395        2.42     2.83114   0.0576847
         396         1.3     2.82727   0.0576684
         397        1.62     2.82423   0.0576033
         398        2.02     2.82221    0.057494
         399        2.02      2.8202   0.0573851
         400        1.46      2.8168   0.0573423
         401         1.7     2.81401   0.0572669
         402        3.06     2.81463   0.0571277
         403        0.74     2.80948   0.0572174
         404         2.5     2.80871   0.0570809
         405        0.34     2.80262   0.0572645
         406         2.5     2.80187   0.0571283
         407        2.42     2.80093   0.0569956
         408         2.9     2.80118   0.0568565
         409         1.7     2.79848   0.0567812
         410         2.5     2.79776   0.0566473
         411        3.06     2.79839   0.0565131
         412        2.02      2.7965   0.0564075
         413        3.46     2.79811   0.0562938
         414         4.5     2.80222   0.0563077
         415        5.14     2.80786   0.0564531
         416        1.46     2.80462   0.0564103
         417        1.46     2.80139   0.0563671
         418        2.42     2.80048   0.0562397
         419        2.18       2.799   0.0561249
         420        1.06     2.79486   0.0561438
         421        0.98     2.79055   0.0561757
         422        2.02     2.78872   0.0560723
         423        2.02      2.7869   0.0559691
         424        1.06     2.78283   0.0559851
         425         1.7     2.78028   0.0559113
         426        1.06     2.77624   0.0559257
         427        1.46     2.77316   0.0558797
         428         2.5     2.77252   0.0557527
         429        2.18     2.77114   0.0556399
         430        2.02      2.7694   0.0555379
         431        3.06     2.77007   0.0554131
         432        2.18      2.7687   0.0553017
         433         1.7     2.76624    0.055229
         434        3.46     2.76783   0.0551249
         435        2.42     2.76703    0.055004
         436        2.02     2.76532   0.0549045
         437        4.58     2.76947   0.0549357
         438        3.38     2.77087   0.0548279
         439         4.1      2.7739   0.0547866
         440        2.18     2.77255   0.0546787
         441         4.5     2.77646   0.0546948
         442        0.98      2.7724   0.0547219
         443         2.9     2.77269   0.0545991
         444         1.7     2.77027   0.0545296
         445         4.1     2.77326   0.0544888
         446        3.94     2.77587   0.0544294
         447         2.5     2.77526   0.0543112
         448         2.5     2.77464   0.0541934
         449        3.94     2.77724   0.0541348
         450         2.9     2.77751   0.0540152
         451         4.1     2.78044    0.053975
         452        3.94     2.78301   0.0539165
         453         4.1     2.78592   0.0538758
         454        3.46      2.7874   0.0537776
         455         2.9     2.78765     0.05366
         456        2.18     2.78632   0.0535588
         457         2.9     2.78656   0.0534422
         458        2.42     2.78576   0.0533315
         459         1.3     2.78253   0.0533135
         460         1.3      2.7793   0.0532949
         461        1.62     2.77679   0.0532386
         462         2.9     2.77706    0.053124
         463        1.06     2.77335   0.0531386
         464         1.3     2.77017   0.0531188
         465         6.5     2.77819   0.0536068
         466        1.62     2.77571   0.0535493
         467        2.02     2.77409   0.0534591
         468         1.7     2.77179   0.0533941
         469        3.46     2.77326   0.0533004
         470        2.02     2.77166   0.0532111
         471        2.42     2.77091   0.0531034
         472        3.94     2.77339   0.0530486
         473        3.94     2.77586   0.0529938
         474         2.5     2.77527   0.0528852
         475        4.58     2.77907   0.0529101
         476        3.38     2.78034    0.052814
         477         2.5     2.77975   0.0527066
         478         1.7     2.77749   0.0526447
         479        2.42     2.77674   0.0525401
         480        3.94     2.77917   0.0524865
         481         4.5     2.78274   0.0524992
         482         2.9     2.78299   0.0523908
         483         2.5      2.7824   0.0522856
         484        1.62        2.78   0.0522327
         485         1.7     2.77777   0.0521725
         486        3.46     2.77918    0.052084
         487         2.5      2.7786   0.0519802
         488        3.46        2.78   0.0518924
         489         2.9     2.78025   0.0517869
         490         2.9     2.78049   0.0516818
         491        5.14      2.7853   0.0517995
         492        2.42     2.78455   0.0516995
         493        3.94      2.7869   0.0516477
         494        2.74      2.7868   0.0515433
         495        2.18     2.78558   0.0514537
         496         2.5       2.785   0.0513532
         497        2.42     2.78427   0.0512551
         498         1.7     2.78209   0.0511984
         499        2.74       2.782   0.0510959
         500         2.5     2.78144   0.0509968
