#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
         671        2.56     1.29115    0.063373
         672        5.76      1.2978   0.0636267
         673         1.3      1.2978   0.0635321
         674        0.64     1.29682   0.0634454
         675         2.6     1.29876   0.0633807
         676         7.3     1.30763   0.0639057
         677        10.9      1.3218   0.0653632
         678        9.86      1.3344   0.0664688
         679        6.34     1.34177   0.0667785
         680        1.48     1.34197   0.0666806
         681        0.82      1.3412   0.0665871
         682        1.78     1.34185   0.0664926
         683        0.58     1.34073   0.0664046
         684         0.1     1.33892   0.0663322
         685         0.2     1.33726   0.0662562
         686        1.48     1.33746     0.06616
         687        0.58     1.33636   0.0660729
         688        0.32     1.33488   0.0659933
         689        0.72     1.33399   0.0659036
         690         2.6     1.33583   0.0658336
         691        1.78     1.33647   0.0657415
         692        0.82     1.33572   0.0656507
         693        2.72     1.33772   0.0655864
         694        0.26     1.33617   0.0655102
         695        0.34     1.33473   0.0654317
         696        0.74     1.33388   0.0653432
         697        0.02     1.33199   0.0652767
         698        0.16     1.33032   0.0652047
         699         0.2      1.3287   0.0651315
         700        1.78     1.32934   0.0650417
         701           2      1.3303   0.0649559
         702        1.04     1.32989   0.0648647
         703         0.5     1.32871   0.0647832
         704        0.16     1.32705   0.0647124
         705        1.04     1.32664   0.0646219
         706        1.94     1.32751   0.0645362
         707           1     1.32704   0.0644466
         708           2     1.32799   0.0643626
         709        0.58     1.32694   0.0642804
         710         0.4     1.32563   0.0642032
         711        5.38     1.33134   0.0643656
         712       10.28      1.3439   0.0654908
         713        9.86     1.35585   0.0664792
         714        7.38     1.36429   0.0669193
         715         5.8     1.37049   0.0671127
         716        6.76     1.37802   0.0674397
         717           5     1.38307   0.0675346
         718        0.68     1.38209   0.0674476
         719        4.88     1.38695   0.0675291
         720        2.32     1.38825   0.0674477
         721         0.4     1.38688   0.0673681
         722        0.16     1.38518   0.0672962
         723         0.4     1.38382   0.0672169
         724         0.1     1.38204   0.0671475
         725         0.9     1.38138   0.0670581
         726        0.26     1.37983   0.0669836
         727        0.68     1.37887   0.0668983
         728        1.36     1.37885   0.0668065
         729        1.48     1.37898    0.066715
         730         0.1     1.37723   0.0666466
         731        1.06      1.3768   0.0665568
         732        1.06     1.37637   0.0664673
         733        0.04     1.37454   0.0664016
         734        1.04     1.37409   0.0663127
         735        0.34     1.37268   0.0662374
         736           1     1.37217   0.0661493
         737        0.26     1.37066   0.0660768
         738        0.82     1.36992   0.0659915
         739        0.18     1.36831   0.0659218
         740        0.26     1.36681   0.0658498
         741         1.8      1.3674   0.0657635
         742         0.9     1.36677   0.0656779
         743         0.5      1.3656   0.0655998
         744           1     1.36511   0.0655135
         745        1.94     1.36588   0.0654301
         746         1.7     1.36633   0.0653439
         747         2.9     1.36838   0.0652887
         748        0.36     1.36703   0.0652153
         749        0.26     1.36555    0.065145
         750         0.5      1.3644   0.0650684
         751         0.1     1.36272   0.0650035
         752        1.28     1.36261   0.0649172
         753        2.98     1.36475   0.0648665
         754         1.7      1.3652    0.064782
         755        0.82     1.36448   0.0647002
         756        0.04     1.36272   0.0646383
         757         0.2     1.36119   0.0645712
         758        2.98     1.36332   0.0645213
         759         1.6     1.36364    0.064437
         760        1.36     1.36363   0.0643523
         761        0.04     1.36189   0.0642912
         762        0.26     1.36045   0.0642231
         763         0.1     1.35879   0.0641602
         764        0.68     1.35791   0.0640823
         765         0.5     1.35678   0.0640084
         766        2.98      1.3589   0.0639599
         767         1.6     1.35922   0.0638773
         768         3.7     1.36227   0.0638668
         769         1.3     1.36218   0.0637838
         770           0     1.36042   0.0637255
         771         0.4     1.35917    0.063655
         772         2.6     1.36078   0.0635928
         773        0.74     1.35997   0.0635156
         774        0.04     1.35827   0.0634564
         775        2.12     1.35925   0.0633822
         776           1     1.35879   0.0633022
         777        4.88     1.36332   0.0633827
         778         0.1      1.3617   0.0633221
         779        0.34     1.36039   0.0632544
         780         2.9     1.36236    0.063204
         781        0.74     1.36156   0.0631281
         782        0.34     1.36026   0.0630609
         783        2.34     1.36151   0.0629928
         784        1.48     1.36166   0.0629126
         785        0.02     1.35995   0.0628557
